,Unnamed: 0,frequency,attack-angle,chord-length,free-stream-velocity,suction-side-displacement-thickness,scaled-sound-pressure
330,330,315,4,0.2286,39.6,0.00473801,122.229
1455,1455,5000,12.3,0.1016,39.6,0.0408268,108.625
237,237,2000,0,0.2286,31.7,0.0027238,123.455
837,837,2000,8.4,0.0508,31.7,0.00580776,127.686
140,140,6300,3,0.3048,39.6,0.00495741,114.042
1376,1376,2000,6.7,0.1016,31.7,0.00592927,120.446
329,329,8000,4,0.2286,55.5,0.0042862,112.524
524,524,12500,2.7,0.1524,71.3,0.00243851,113.034
54,54,800,0,0.3048,31.7,0.00331266,129.235
676,676,6300,9.9,0.1524,39.6,0.0233328,109.885
324,324,2500,4,0.2286,55.5,0.0042862,122.384
582,582,315,5.4,0.1524,31.7,0.00525474,125.741
430,430,1250,7.3,0.2286,39.6,0.0123481,123.189
991,991,10000,0,0.0254,39.6,0.000428464,133.376
1400,1400,1000,8.9,0.1016,39.6,0.0124596,129.58
872,872,400,15.4,0.0508,71.3,0.0264269,126.805
847,847,800,11.2,0.0508,71.3,0.014072,136.031
562,562,2500,5.4,0.1524,55.5,0.00433288,124.077
200,200,20000,0,0.2286,71.3,0.00214345,114.474
1017,1017,20000,4.8,0.0254,71.3,0.000848633,119.708
543,543,630,5.4,0.1524,71.3,0.00401199,128.971
671,671,2000,9.9,0.1524,39.6,0.0233328,117.925
1460,1460,400,12.3,0.1016,31.7,0.0418756,123.207
291,291,1250,2,0.2286,31.7,0.00372371,128.677
1008,1008,2500,4.8,0.0254,71.3,0.000848633,130.828
861,861,800,11.2,0.0508,39.6,0.0150478,133.79
113,113,500,3,0.3048,55.5,0.00452492,128.179
339,339,2500,4,0.2286,39.6,0.00473801,119.649
803,803,2500,8.4,0.0508,71.3,0.00529514,134.226
1191,1191,2500,17.4,0.0254,39.6,0.0172206,124.154
1252,1252,10000,0,0.1016,71.3,0.00121072,123.305
411,411,630,7.3,0.2286,55.5,0.0111706,130.934
